,NAME,ZCTA,ZIP_TYPE,zip_join_type,PO_NAME,STATE,S1903_C03_015E,S1903_C03_034E
7775,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7776,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7777,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7778,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7779,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7780,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7781,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7782,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7783,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7784,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7785,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7786,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7787,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7788,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7789,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7790,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7791,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7792,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7793,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7794,ZCTA5 20024,20024,Zip Code Area,Spatial join to ZCTA,Washington,DC,137065,75712
7795,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7796,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7797,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7798,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7799,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,137065,75712
7800,ZCTA5 20024,20024,Post Office or large volume customer,Spatial join to ZCTA,Parcel Return Service,DC,137065,75712
7801,ZCTA5 20032,20032,Zip Code Area,Zip matches ZCTA,Washington,DC,54912,33873
7802,ZCTA5 20032,20032,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,54912,33873
7803,ZCTA5 20032,20032,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,54912,33873
7804,ZCTA5 20036,20036,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,159375,95347
7805,ZCTA5 20036,20036,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,159375,95347
7806,ZCTA5 20036,20036,Zip Code Area,Zip matches ZCTA,Washington,DC,159375,95347
7807,ZCTA5 20036,20036,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,159375,95347
7808,ZCTA5 20036,20036,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,159375,95347
7809,ZCTA5 20036,20036,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,159375,95347
7810,ZCTA5 20036,20036,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,159375,95347
7811,ZCTA5 20036,20036,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,159375,95347
7812,ZCTA5 20036,20036,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,159375,95347
7813,ZCTA5 20037,20037,Zip Code Area,Zip matches ZCTA,Washington,DC,172736,82784
7814,ZCTA5 20037,20037,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,172736,82784
7815,ZCTA5 20037,20037,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,172736,82784
7816,ZCTA5 20037,20037,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,172736,82784
7817,ZCTA5 20037,20037,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,172736,82784
7818,ZCTA5 20037,20037,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,172736,82784
7819,ZCTA5 20045,20045,Post Office or large volume customer,Zip matches ZCTA,Washington,DC,0,0
7820,ZCTA5 20052,20052,Zip Code Area,Zip matches ZCTA,Washington,DC,0,0
7821,ZCTA5 20053,20053,Post Office or large volume customer,Zip matches ZCTA,Washington,DC,0,0
